id,uniqueid,name,category_id,image
1,4700000570034,Томатная паста Айлана 900гр (в уп 6шт),2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570034.jpg?alt=media&token=db5e7b49-be04-4e7a-898a-7f0b0b7eb83c
2,2536741947864,Сельдь советская 350гр,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F2536741947864.jpg?alt=media&token=e39e2e0b-f8fe-4155-aa91-4934cfbe2131
3,4700000570447,Томатная паста Айлана в/с 500гр (В уп 6шт),2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570447.png?alt=media&token=6ebae806-12f5-4e26-ad00-fb6ac74ea74f
4,2773143,Огурцы Рава вес,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F2773143.jpg?alt=media&token=2d76e905-db93-42f4-b7e5-3369761a3f06
5,4607071100231,Кукуруза Bonduelle сладкая 340г ж/б,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4607071100231.jpg?alt=media&token=bba5ad4b-071c-4a69-b171-3c16c37c5117
6,4870004930025,Говядина Кублей тушеная ж/сорт (ж/б) 325г,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4870004930025.png?alt=media&token=afdfcf9f-9ec1-4393-8e28-7449dec8c18f
7,4700000570065,Огурцы маринованные Айлана 900г,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570065.jpg?alt=media&token=b3f9e77a-ad13-49ca-8736-3753247b524c
8,4700000570393,Томатная паста Айлана 250гр (в уп 12шт),2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570393.jpg?alt=media&token=3749dab2-3d08-49ae-9a31-548878b8824a
9,3083680048774,Горох Bonduelle 400г.,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F3083680048774.jpg?alt=media&token=2b075930-0107-447f-aad0-38d2d9b112d1
10,4870004930520,Говядина Кублей тушеная в/с (ж/б) 240г,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4870004930520.jpg?alt=media&token=e9e57a22-f306-43f6-88d6-db8e500e9229
11,4700000570249,Томатная паста Сары-Озон 950гр (в уп 6шт),2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570249.png?alt=media&token=74d7864d-2ebc-40bf-aa9b-0506bfa4415f
12,5998304241111,Глобус ширин жугору 400гр / Кукуруза Глобус сладкая 400гр Globus таттуу жугору 425мл ж/б,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F5998304241111.jpg?alt=media&token=6acaec26-7e25-48c2-bd64-719720e5ed49
13,4770190082112,Сельдь VICI Любо есть филе кусочки в масле с укропом Царская охл.500 г,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4770190082112.jpg?alt=media&token=52c68812-3abf-4afc-a1e6-1e36b1bcd027
14,4770190082105,СельдьVICI Любо есть филе кусочки в масле Оригинальная охл.500 г,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4770190082105.jpg?alt=media&token=260a2830-d94d-4ba2-822b-de1157cbd5c2
15,4700009150855,Огурцы маринованные Sonun 900гр,2,
16,4700000570287,Томатная паста Накта 900г. (в упак. 6шт),2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570287.jpg?alt=media&token=bda5f317-434e-4061-99c7-7e541999b2e3
17,4700004710047,"Томатная паста ""Сеньор Помидор"" 900г. (в упак. 6шт)",2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700004710047.jpg?alt=media&token=8681faab-f71d-4e53-8488-1f4a22bd3995
18,4870004930070,Консервы Кублей килька в томатном соусе 240 гр,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4870004930070.jpg?alt=media&token=f4ff0d7d-ca1c-407e-aa53-71ae12579afc
19,4770190087391,Сельдь VICI Любо есть филе кусочки в масле Оригинальная охл.200 г.,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4770190087391.jpg?alt=media&token=68b7355c-58a9-4585-ae6f-a0b2659ad9cc
20,4870004930155,Шпроты в масле 160гр,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4870004930155.jpg?alt=media&token=d3c55022-c2a4-4d17-8131-ab0d7acfcfd4
21,4610000620519,Шпроты в масле из балтийской кильки 160гр с ключом,2,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4610000620519.jpg?alt=media&token=e52ab38e-8f1b-4d8b-91f3-77f56d0181be
